idx,radioname,ra,dec,Label
M0065,J230326.14-002137.8,23 03 26.14,-00 21 37.8,sfri
M0082,J020007.94+000127.1,02 00 07.94,+00 01 27.1,sfri
M0090,J081125.64+433742.3,08 11 25.64,+43 37 42.3,sfri
M0116,J100043.19+014607.9,10 00 43.19,+01 46 07.9,sfri
M0123,J110802.68+024601.6,11 08 02.68,+02 46 01.6,sfri
M0141,J132644.64+031155.1,13 26 44.64,+03 11 55.1,sfri
M0147,J074535.73+335746.7,07 45 35.73,+33 57 46.7,sfri
M0151,J083346.88+451519.5,08 33 46.88,+45 15 19.5,sfri
M0158,J091014.88+533950.6,09 10 14.88,+53 39 50.6,sfri
M0159,J091225.08+534139.2,09 12 25.08,+53 41 39.2,sfri
M0173,J093058.74+034827.8,09 30 58.74,+03 48 27.8,sfri
M0174,J095527.76+034516.8,09 55 27.76,+03 45 16.8,sfri
M0177,J101356.38+040857.9,10 13 56.38,+04 08 57.9,sfri
M0194,J150959.40+030011.1,15 09 59.40,+03 00 11.1,sfri
M0198,J153206.43+034158.3,15 32 06.43,+03 41 58.3,sfri
M0209,J143147.55+605109.5,14 31 47.55,+60 51 09.5,sfri
M0212,J153250.69+573425.1,15 32 50.69,+57 34 25.1,sfri
M0214,J155721.40+544016.0,15 57 21.40,+54 40 16.0,sfri
M0215,J155750.26+534334.1,15 57 50.26,+53 43 34.1,sfri
M0231,J004312.85-103956.1,00 43 12.85,-10 39 56.1,sfri
M0239,J013327.25-082416.5,01 33 27.25,-08 24 16.5,sfri
M0260,J230632.18-093020.6,23 06 32.18,-09 30 20.6,sfri
M0267,J081140.50+401457.3,08 11 40.50,+40 14 57.3,sfri
M0269,J083112.16+434158.5,08 31 12.16,+43 41 58.5,sfri
M0273,J090836.47+483918.3,09 08 36.47,+48 39 18.3,sfri
M0282,J111903.89+602840.8,11 19 03.89,+60 28 40.8,sfri
M0288,J130239.05+622939.3,13 02 39.05,+62 29 39.3,sfri
M0293,J132218.27+604421.5,13 22 18.27,+60 44 21.5,sfri
M0302,J163315.26+401059.9,16 33 15.26,+40 10 59.9,sfri
M0309,J090542.61+422113.2,09 05 42.61,+42 21 13.2,sfri
M0312,J114208.92+043733.6,11 42 08.92,+04 37 33.6,sfri
M0313,J114111.82+054405.1,11 41 11.82,+05 44 05.1,sfri
M0329,J082204.96+323006.2,08 22 04.96,+32 30 06.2,sfri
M0331,J103649.08+484949.0,10 36 49.08,+48 49 49.0,sfri
M0338,J125437.77+530524.0,12 54 37.77,+53 05 24.0,sfri
M0339,J080113.28+344030.9,08 01 13.28,+34 40 30.9,sfri
M0343,J083107.69+391420.5,08 31 07.69,+39 14 20.5,sfri
M0345,J085156.01+424360.0,08 51 56.01,+42 43 60.0,sfri
M0353,J105147.40+552308.4,10 51 47.40,+55 23 08.4,sfri
M0360,J134918.73-014921.5,13 49 18.73,-01 49 21.5,sfri
M0361,J141513.99-013703.8,14 15 13.99,-01 37 03.8,sfri
M0368,J075506.67+262115.9,07 55 06.67,+26 21 15.9,sfri
M0369,J081111.51+284750.5,08 11 11.51,+28 47 50.5,sfri
M0370,J082215.38+314036.3,08 22 15.38,+31 40 36.3,sfri
M0372,J082835.20+322825.2,08 28 35.20,+32 28 25.2,sfri
M0376,J094841.06+421813.2,09 48 41.06,+42 18 13.2,sfri
M0380,J103258.90+564453.4,10 32 58.90,+56 44 53.4,sfri
M0384,J112737.53+585059.5,11 27 37.53,+58 50 59.5,sfri
M0389,J132103.02+583256.0,13 21 03.02,+58 32 56.0,sfri
M0390,J132307.49+590349.0,13 23 07.49,+59 03 49.0,sfri
M0392,J133252.88+573718.8,13 32 52.88,+57 37 18.8,sfri
M0396,J111523.16+495640.9,11 15 23.16,+49 56 40.9,sfri
M0397,J113626.36+501323.8,11 36 26.36,+50 13 23.8,sfri
M0405,J170304.49+322847.5,17 03 04.49,+32 28 47.5,sfri
M0411,J092449.05+060242.9,09 24 49.05,+06 02 42.9,sfri
M0422,J105452.11+074006.4,10 54 52.11,+07 40 06.4,sfri
M0428,J100804.14+502642.8,10 08 04.14,+50 26 42.8,sfri
M0429,J102116.24+495040.5,10 21 16.24,+49 50 40.5,sfri
M0435,J112942.18+542528.9,11 29 42.18,+54 25 28.9,sfri
M0438,J115125.67+545006.9,11 51 25.67,+54 50 06.9,sfri
M0459,J150950.13+521739.9,15 09 50.13,+52 17 39.9,sfri
M0460,J151112.05+524652.6,15 11 12.05,+52 46 52.6,sfri
M0485,J093349.83+451957.8,09 33 49.83,+45 19 57.8,sfri
M0492,J091507.68+362232.3,09 15 07.68,+36 22 32.3,sfri
M0496,J101919.86+422734.8,10 19 19.86,+42 27 34.8,sfri
M0497,J110617.02+085833.3,11 06 17.02,+08 58 33.3,sfri
M0503,J100508.09+091233.4,10 05 08.09,+09 12 33.4,sfri
M0509,J101912.23+080447.9,10 19 12.23,+08 04 47.9,sfri
M0516,J081243.77+250247.3,08 12 43.77,+25 02 47.3,sfri
M0521,J085950.93+320748.4,08 59 50.93,+32 07 48.4,sfri
M0524,J124913.21+500043.7,12 49 13.21,+50 00 43.7,sfri
M0528,J132020.35+485409.1,13 20 20.35,+48 54 09.1,sfri
M0536,J150033.62+422018.0,15 00 33.62,+42 20 18.0,sfri
M0539,J085101.93+080050.6,08 51 01.93,+08 00 50.6,sfri
M0552,J123424.36+575327.2,12 34 24.36,+57 53 27.2,sfri
M0557,J143137.00+522724.9,14 31 37.00,+52 27 24.9,sfri
M0565,J163822.52+325111.8,16 38 22.52,+32 51 11.8,sfri
M0567,J134651.23+415154.7,13 46 51.23,+41 51 54.7,sfri
M0573,J151037.55+364929.8,15 10 37.55,+36 49 29.8,sfri
M0580,J105259.98+430255.0,10 52 59.98,+43 02 55.0,sfri
M0582,J114623.00+442459.1,11 46 23.00,+44 24 59.1,sfri
M0584,J114034.41+440548.1,11 40 34.41,+44 05 48.1,sfri
M0586,J115109.40+435918.7,11 51 09.40,+43 59 18.7,sfri
M0587,J114948.11+435412.6,11 49 48.11,+43 54 12.6,sfri
M0597,J134441.54+402802.2,13 44 41.54,+40 28 02.2,sfri
M0608,J161258.51+260135.0,16 12 58.51,+26 01 35.0,sfri
M0609,J142118.30+431110.4,14 21 18.30,+43 11 10.4,sfri
M0616,J154417.88+344146.6,15 44 17.88,+34 41 46.6,sfri
M0622,J154709.22+353846.2,15 47 09.22,+35 38 46.2,sfri
M0624,J160810.88+325418.7,16 08 10.88,+32 54 18.7,sfri
M0625,J161828.99+295859.6,16 18 28.99,+29 58 59.6,sfri
M0626,J102237.41+383445.0,10 22 37.41,+38 34 45.0,sfri
M0627,J102703.84+382013.1,10 27 03.84,+38 20 13.1,sfri
M0629,J103502.62+425548.4,10 35 02.62,+42 55 48.4,sfri
M0630,J103636.24+383508.2,10 36 36.24,+38 35 08.2,sfri
M0631,J104336.03+393411.3,10 43 36.03,+39 34 11.3,sfri
M0633,J104742.83+434652.7,10 47 42.83,+43 46 52.7,sfri
M0637,J105348.93+402346.0,10 53 48.93,+40 23 46.0,sfri
M0659,J134300.37+462719.9,13 43 00.37,+46 27 19.9,sfri
M0666,J161836.13+270741.5,16 18 36.13,+27 07 41.5,sfri
M0667,J162228.86+264658.1,16 22 28.86,+26 46 58.1,sfri
M0685,J113151.21+111544.3,11 31 51.21,+11 15 44.3,sfri
M0687,J113242.03+121311.9,11 32 42.03,+12 13 11.9,sfri
M0696,J114125.98+080216.5,11 41 25.98,+08 02 16.5,sfri
M0698,J114339.84+072959.6,11 43 39.84,+07 29 59.6,sfri
M0700,J120118.20+061859.3,12 01 18.20,+06 18 59.3,sfri
M0701,J121143.17+080108.3,12 11 43.17,+08 01 08.3,sfri
M0712,J151744.97+310015.8,15 17 44.97,+31 00 15.8,sfri
M0716,J152234.04+310910.7,15 22 34.04,+31 09 10.7,sfri
M0719,J154413.50+283843.5,15 44 13.50,+28 38 43.5,sfri
M0724,J141243.84+495206.5,14 12 43.84,+49 52 06.5,sfri
M0732,J160923.21+352240.5,16 09 23.21,+35 22 40.5,sfri
M0738,J164924.02+263502.6,16 49 24.02,+26 35 02.6,sfri
M0742,J165748.27+272521.3,16 57 48.27,+27 25 21.3,sfri
M0746,J135329.98+113830.0,13 53 29.98,+11 38 30.0,sfri
M0763,J153621.12+084112.2,15 36 21.12,+08 41 12.2,sfri
M0765,J154635.78+084424.6,15 46 35.78,+08 44 24.6,sfri
M0774,J161713.47+063729.4,16 17 13.47,+06 37 29.4,sfri
M0778,J073658.10+432902.0,07 36 58.10,+43 29 02.0,sfri
M0798,J110651.16+141212.5,11 06 51.16,+14 12 12.5,sfri
M0803,J085105.27+085106.7,08 51 05.27,+08 51 06.7,sfri
M0805,J114910.67+151924.7,11 49 10.67,+15 19 24.7,sfri
M0807,J120725.24+142125.6,12 07 25.24,+14 21 25.6,sfri
M0814,J081421.69+522410.1,08 14 21.69,+52 24 10.1,sfri
M0834,J132624.77+074627.4,13 26 24.77,+07 46 27.4,sfri
M0838,J135650.10+070932.4,13 56 50.10,+07 09 32.4,sfri
M0839,J135124.56+085216.4,13 51 24.56,+08 52 16.4,sfri
M0841,J140631.67+093620.8,14 06 31.67,+09 36 20.8,sfri
M0848,J150356.71+081937.5,15 03 56.71,+08 19 37.5,sfri
M0855,J161247.46+051958.8,16 12 47.46,+05 19 58.8,sfri
M0859,J144626.18+063359.1,14 46 26.18,+06 33 59.1,sfri
M0861,J145435.23+053647.6,14 54 35.23,+05 36 47.6,sfri
M0863,J151659.25+051751.5,15 16 59.25,+05 17 51.5,sfri
M0867,J135526.20+352544.1,13 55 26.20,+35 25 44.1,sfri
M0875,J161925.31+202550.1,16 19 25.31,+20 25 50.1,sfri
M0877,J073050.67+445600.9,07 30 50.67,+44 56 00.9,sfri
M0884,J074708.36+171726.6,07 47 08.36,+17 17 26.6,sfri
M0888,J081854.09+224744.8,08 18 54.09,+22 47 44.8,sfri
M0892,J083147.84+223905.9,08 31 47.84,+22 39 05.9,sfri
M0896,J090238.58+264400.5,09 02 38.58,+26 44 00.5,sfri
M0900,J095801.68+285135.5,09 58 01.68,+28 51 35.5,sfri
M0903,J100559.75+354404.8,10 05 59.75,+35 44 04.8,sfri
M0908,J102242.60+332544.5,10 22 42.60,+33 25 44.5,sfri
M0912,J123650.25+331518.6,12 36 50.25,+33 15 18.6,sfri
M0914,J103036.16+355459.8,10 30 36.16,+35 54 59.8,sfri
M0922,J124541.96+332428.6,12 45 41.96,+33 24 28.6,sfri
M0925,J124439.78+375908.6,12 44 39.78,+37 59 08.6,sfri
M0927,J110522.81+300941.5,11 05 22.81,+30 09 41.5,sfri
M0931,J113222.83+393525.9,11 32 22.83,+39 35 25.9,sfri
M0935,J123954.46+374355.4,12 39 54.46,+37 43 55.4,sfri
M0947,J122208.08+341057.1,12 22 08.08,+34 10 57.1,sfri
M0952,J104645.87+314426.9,10 46 45.87,+31 44 26.9,sfri
M0958,J125537.06+345645.5,12 55 37.06,+34 56 45.5,sfri
M0960,J135250.71+361638.2,13 52 50.71,+36 16 38.2,sfri
M0962,J111332.17+355904.3,11 13 32.17,+35 59 04.3,sfri
M0977,J120647.65+315231.5,12 06 47.65,+31 52 31.5,sfri
M0986,J110140.09+331720.6,11 01 40.09,+33 17 20.6,sfri
M0991,J135432.97+281436.2,13 54 32.97,+28 14 36.2,sfri
M0996,J135450.03+332435.1,13 54 50.03,+33 24 35.1,sfri
M0997,J135553.63+262217.9,13 55 53.63,+26 22 17.9,sfri
M0998,J140709.82+261848.3,14 07 09.82,+26 18 48.3,sfri
M1001,J141251.32+283124.5,14 12 51.32,+28 31 24.5,sfri
M1005,J142041.96+250844.2,14 20 41.96,+25 08 44.2,sfri
M1006,J142440.53+263730.5,14 24 40.53,+26 37 30.5,sfri
M1010,J143526.24+275335.6,14 35 26.24,+27 53 35.6,sfri
M1011,J143716.82+245209.2,14 37 16.82,+24 52 09.2,sfri
M1015,J143715.01+244532.2,14 37 15.01,+24 45 32.2,sfri
M1017,J144921.62+253323.9,14 49 21.62,+25 33 23.9,sfri
M1026,J150230.24+230800.9,15 02 30.24,+23 08 00.9,sfri
M1041,J161138.84+153255.0,16 11 38.84,+15 32 55.0,sfri
M1046,J162309.29+142149.5,16 23 09.29,+14 21 49.5,sfri
M1048,J162918.66+133824.0,16 29 18.66,+13 38 24.0,sfri
M1051,J163043.14+163910.8,16 30 43.14,+16 39 10.8,sfri
M1056,J110823.01+291427.6,11 08 23.01,+29 14 27.6,sfri
M1061,J112912.15+273314.0,11 29 12.15,+27 33 14.0,sfri
M1076,J125157.06+300926.2,12 51 57.06,+30 09 26.2,sfri
M1087,J082556.15+175139.6,08 25 56.15,+17 51 39.6,sfri
M1096,J090234.90+204417.9,09 02 34.90,+20 44 17.9,sfri
M1108,J095737.87+261025.2,09 57 37.87,+26 10 25.2,sfri
M1133,J095716.41+190651.3,09 57 16.41,+19 06 51.3,sfri
M1135,J102412.40+210522.2,10 24 12.40,+21 05 22.2,sfri
M1139,J081141.63+102912.0,08 11 41.63,+10 29 12.0,sfri
M1141,J084446.64+115455.4,08 44 46.64,+11 54 55.4,sfri
M1143,J085311.25+131836.6,08 53 11.25,+13 18 36.6,sfri
M1157,J111132.60+162619.4,11 11 32.60,+16 26 19.4,sfri
M1162,J112924.14+210113.9,11 29 24.14,+21 01 13.9,sfri
M1175,J114646.65+232810.8,11 46 46.65,+23 28 10.8,sfri
M1179,J115131.05+163126.3,11 51 31.05,+16 31 26.3,sfri
M1184,J155034.84+120040.9,15 50 34.84,+12 00 40.9,sfri
M1187,J155749.62+161836.7,15 57 49.62,+16 18 36.7,sfri
M1197,J163151.02+085307.5,16 31 51.02,+08 53 07.5,sfri
M1202,J092101.47+112945.4,09 21 01.47,+11 29 45.4,sfri
M1204,J092406.80+131259.9,09 24 06.80,+13 12 59.9,sfri
M1207,J095547.10+145548.2,09 55 47.10,+14 55 48.2,sfri
M1213,J102111.60+183811.0,10 21 11.60,+18 38 11.0,sfri
M1216,J120603.55+162634.9,12 06 03.55,+16 26 34.9,sfri
M1217,J122338.73+164438.4,12 23 38.73,+16 44 38.4,sfri
M1218,J122446.75+182532.1,12 24 46.75,+18 25 32.1,sfri
M1220,J123921.86+171157.5,12 39 21.86,+17 11 57.5,sfri
M1227,J133105.84+163039.8,13 31 05.84,+16 30 39.8,sfri
M1229,J121532.37+184249.4,12 15 32.37,+18 42 49.4,sfri
M1230,J122206.94+205936.5,12 22 06.94,+20 59 36.5,sfri
M1245,J133751.79+183828.3,13 37 51.79,+18 38 28.3,sfri
M1249,J121945.99+225510.4,12 19 45.99,+22 55 10.4,sfri
M1258,J133632.19+211956.9,13 36 32.19,+21 19 56.9,sfri
M1264,J130822.07+233116.0,13 08 22.07,+23 31 16.0,sfri
M1266,J132000.20+253243.9,13 20 00.20,+25 32 43.9,sfri
M1271,J143024.34+143527.2,14 30 24.34,+14 35 27.2,sfri
M1273,J145001.50+144747.9,14 50 01.50,+14 47 47.9,sfri
M1275,J150003.97+132745.6,15 00 03.97,+13 27 45.6,sfri
M1279,J134846.03+182519.6,13 48 46.03,+18 25 19.6,sfri
M1289,J140150.76+201009.1,14 01 50.76,+20 10 09.1,sfri
M1293,J141809.19+191924.8,14 18 09.19,+19 19 24.8,sfri
M1294,J143149.14+192300.2,14 31 49.14,+19 23 00.2,sfri
M1306,J140215.23+231803.7,14 02 15.23,+23 18 03.7,sfri
M1315,J145722.16+193801.1,14 57 22.16,+19 38 01.1,sfri
M1318,J151212.23+173309.3,15 12 12.23,+17 33 09.3,sfri
M1326,J154155.17+012517.4,15 41 55.17,+01 25 17.4,sfri
S0272,J142258.90+082518.8,14 22 58.90,+08 25 18.8,sfri
S0315,J153856.78+355709.6,15 38 56.78,+35 57 09.6,sfri
