widx,source_catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500,xmatch_zgated
15,Lao+Mirabest,J005701.8-005236,14.25861,-0.87518,0.04416,False,True,False,True,False,False,False,False,False,23.7,8.87,1.0,J005702-005231,395.0,51783.0,138.0,UGC 00588,,,,,0.19,s,101.81,64.0,47.46,,2.0,52.0,58.0,126.0,30.1,,-20.65,,,,,,,,,,,,,SDSS-C4 2093,0.0444,s,196.0,1.0,1.0,,,,,
16,Lao,J000353.4+121031,0.97197,12.17334,0.76324,False,True,False,True,False,False,False,False,False,26.79,8.45,0.79,,,,,WISEA J000353.27+121024.0,,,,,,s,241.04,,132.36,,,258.0,34.0,98.1,21.1,0.95,-23.15,,,,,,,,,,,,,WH J000344.8+120949,0.7438,p,2713.0,129.0,973.0,0.436,12.34,0.57,6.0,
17,Lao+Mirabest,J010455.6+000434,16.23559,0.07312,0.27966,False,False,False,True,False,False,False,False,False,25.37,8.53,1.29,J010457+000423,694.0,52209.0,276.0,WISEA J010456.54+000423.2,a,,,,0.86,s,82.45,77.5,30.77,,2.0,324.0,74.0,116.0,259.6,1.6,-22.82,,,,,,,,,,,,,maxBCG J010455.4+000336,0.2757,s,1144.0,50.0,217.0,1.289,185.72,7.96,122.0,Y
18,Mirabest,J010655.8+003123,16.73245,0.52299,0.1538,False,True,False,False,False,False,False,False,False,24.43,,,J010656+003123,396.0,51816.0,628.0,,,,,,1.47,s,12.4,43.6,,,2.0,26.95,,,,,,,,,,,,,,,,,,WHL J010655.8+003123,0.1542,,,0.05,,0.61,14.17,0.658,7.0,Y
19,Lao,J000436.4+104724,1.15311,10.78809,0.57842,False,True,False,True,False,False,False,False,False,25.67,,1.37,,,,,DESI J000436.75+104717.1,,,,,,p,27.01,,9.53,,,393.0,58.0,168.4,269.2,2.12,,,,,,,,,,,,,,,,,,,,,,,,
20,Lao,J000443.7+062411,1.18221,6.40131,0.55224,False,True,False,False,True,False,False,False,False,25.46,8.75,0.88,,,,,WISEA J000443.72+062404.7,,,,,,s,23.31,,11.96,,,139.0,21.0,89.3,8.7,1.93,-23.75,,,,,,,,,,,,,WHL J000441.9+062135,0.5725,p,2190.0,152.0,1026.0,0.895,74.21,3.27,29.0,
21,Lao+Mirabest,J011425.6+002942,18.60669,0.49247,0.35461,False,True,False,True,False,False,False,False,False,25.6,8.34,0.78,J011426+002933,397.0,51794.0,549.0,WISEA J011425.60+002932.8,,,,,0.1,s,93.1,94.0,51.56,,4.0,371.0,72.0,143.5,60.7,1.75,-23.13,,,,,,,,,,,,,WHL J011425.6+002933,0.3511,s,1427.0,0.0,0.0,0.8,42.4,1.9,25.0,Y
22,Mirabest,J011515.8+001249,18.815781,0.21349,0.04509,True,False,False,False,False,False,False,False,False,,8.46,,J011516+001249,398.0,51789.0,431.0,,,,,,0.06,s,45.0,42.6,,,1.0,,,,,1.06,,11.09,3.873172932,1.93,3.15,9.11569,2.055,-0.966,-99.0,3.127,-1.871,6.02,0.0,,,,,,,,,,,
23,Lao,J000511.3-075556,1.29805,-7.93294,0.35151,False,False,True,True,False,False,False,False,False,25.64,8.57,0.79,,,,,DESI J000511.53-075558.6,,,,,,p,104.93,,57.3,,,174.0,34.0,138.0,37.4,1.69,-23.88,,,,,,,,,,,,,WHL J000511.5-075559,0.33,s,1349.0,0.0,0.0,0.826,50.31,2.24,16.0,
24,Lao,J000533.7-032416,1.39048,-3.40459,0.68202,False,True,False,True,False,False,False,False,False,26.03,,1.22,,,,,DESI J000533.71-032416.5,,,,,,p,43.98,,17.37,,,218.0,30.0,163.6,40.5,0.35,,,,,,,,,,,,,,WH22 J000527.1-032354,0.6562,p,2453.0,102.0,732.0,0.501,19.47,0.89,12.0,
25,Lao,J000605.2+011009,1.52033,1.16692,1.07091,False,False,True,True,False,False,False,False,False,26.42,,1.01,,,,,DESI J000604.88+011000.9,,,,,,p,39.79,,18.39,,,527.0,63.0,146.3,74.4,,,,,,,,,,,,,,,WH J000604.9+011001,1.0397,p,3499.0,0.0,0.0,0.42,16.1,0.74,8.0,
26,Lao+Mirabest,J013132.9+003321,22.887171,0.55597,0.0792,False,True,False,False,False,False,True,False,False,24.87,8.53,0.97,J013133+003321,400.0,51820.0,424.0,DESI J013132.92+003321.5,"g,j",,,,1.33,s,126.4,488.0,257.68,,4.0,78.62,104.0,160.8,57.1,1.04,-23.07,11.59,10.16344083,2.04,3.12,8.77774,1.506,0.691,-99.0,3.571,-0.355,6.2,0.0,WHL J013132.9+003321,0.0805,s,364.0,0.11,0.0,0.78,26.45,1.205,13.0,Y
27,Lao,J000607.5-103028,1.53119,-10.5092,0.21714,False,True,False,True,False,False,False,False,False,24.93,8.85,1.08,,,,,WISEA J000607.48-103033.1,,,,,,s,56.88,,24.95,,,204.0,56.0,151.3,67.7,1.37,-22.99,,,,,,,,,,,,,WHL J000615.3-103043,0.5476,s,2109.0,115.0,760.0,0.957,89.53,3.92,56.0,
28,Lao,J000608.0+105211,1.529,10.8705,0.16922,False,True,False,True,False,False,False,False,False,24.86,8.87,1.01,,,,,WISEA J000606.95+105213.8,,,,,,s,84.54,,39.27,,,224.0,75.0,119.8,39.8,1.33,-22.9,,,,,,,,,,,,,CFSFDP J000558.9+105407,0.4949,s,1934.0,164.0,1029.0,0.408,11.64,0.54,6.0,
29,Lao+Mirabest,J013246.8+011602,23.19652,1.26271,0.1256,False,True,False,True,False,False,False,False,False,25.09,8.85,1.74,J013247+011546,400.0,51820.0,412.0,WISEA J013247.16+011545.7,,,,,0.31,s,254.43,212.0,67.7,,4.0,254.0,109.0,109.6,46.3,1.04,-23.69,,,,,,,,,,,,,AMF J013247.2+011546,0.1256,s,542.0,0.0,0.0,0.837,41.88,1.88,22.0,Y
30,Lao,J000612.6-102820,1.55142,-10.47312,0.22143,False,False,False,True,False,False,False,False,False,24.45,8.54,0.87,,,,,WISEA J000612.34-102823.2,,,,,,s,18.45,,9.53,,,122.0,33.0,161.6,84.8,1.4,-22.5,,,,,,,,,,,,,maxBCG J000611.5-102819,0.2214,s,932.0,12.0,44.0,1.073,95.8,4.19,53.0,
31,Lao,J000703.9+092110,1.76609,9.35308,0.97866,False,False,True,True,False,False,False,False,False,26.05,,0.44,,,,,DESI J000703.86+092111.1,,,,,,p,31.04,,22.19,,,205.0,25.0,135.0,11.4,,,,,,,,,,,,,,,Y21 J000703.9+092051,0.7741,p,2800.0,20.0,153.0,0.51,22.28,1.02,13.0,
32,Lao,J000704.1-012957,1.76719,-1.49916,,False,False,True,True,False,False,False,False,False,,,0.55,,,,,,,,,,,,28.55,,18.77,,,,27.0,140.0,26.6,1.87,,,,,,,,,,,,,,,,,,,,,,,,
35,Lao,J000730.0+123324,1.87566,12.55697,0.71128,False,True,False,True,False,False,False,False,False,25.18,9.77,0.16,,,,,WISEA J000730.15+123325.0,,,,,,s,9.9,,8.78,,,163.0,22.0,156.4,19.0,2.0,-22.48,,,,,,,,,,,,,WH J000730.2+123325,0.7104,s,2616.0,1.0,7.0,0.548,22.17,1.01,6.0,
36,Lao,J000806.3+015933,2.02587,1.99294,0.36942,False,True,False,True,False,False,False,False,False,25.16,8.45,0.75,,,,,WISEA J000806.20+015934.5,,,,,,s,31.43,,17.8,,,137.0,26.0,136.1,20.8,1.8,-22.46,,,,,,,,,,,,,AMF J000810.4+020112,0.3667,s,1484.0,116.0,611.0,1.03,90.19,3.95,59.0,
37,Mirabest,J020217.3-010740,30.572019,-1.12785,0.0426,False,False,True,False,False,False,False,False,False,23.23,,,J020217-010740,701.0,52179.0,129.0,,,,,,0.68,s,6.3,40.3,,,2.0,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Mirabest,J021437.2+004235,33.65517,0.70981,0.29,False,False,True,False,False,False,False,False,False,25.47,,,J021437+004235,405.0,51816.0,442.0,,,,,,1.11,s,50.6,118.8,,,2.0,30.76,,,,,,,,,,,,,,,,,,WHL J021437.2+004235,0.29,,,0.13,,0.63,16.42,0.759,8.0,Y
39,Lao,J000905.2+070828,2.27176,7.14137,,False,False,True,True,False,False,False,False,False,,,0.97,,,,,,,,,,,,35.63,,17.04,,,,30.0,138.9,21.5,1.07,,,,,,,,,,,,,,,,,,,,,,,,
40,Lao+Mirabest,J023026.6+010848,37.61692,1.14716,0.2673,False,False,False,False,True,False,False,False,False,25.52,8.58,0.94,J023028+010850,407.0,51820.0,408.0,WISEA J023028.06+010849.7,"a,h,j",,,,2.96,s,141.02,115.0,69.15,,2.0,212.0,50.0,69.3,19.3,1.58,-23.36,,,,,,,,,,,,,AMF J023028.1+010850,0.2673,s,1111.0,0.0,0.0,0.781,35.24,1.59,15.0,Y
42,Mirabest,J025227.5-075605,43.114689,-7.93479,0.07813,True,False,False,False,False,False,False,False,False,,8.42,,J025228-075605,457.0,51901.0,193.0,,,,,,0.91,s,87.7,99.7,,,1.0,,,,,1.0,,11.29,4.65467872,1.95,3.0,9.15604,-0.795,-2.22,-99.0,-0.393,0.165,5.9,0.0,,,,,,,,,,,
43,Lao,J001134.7+053558,2.89479,5.59961,,False,False,True,True,False,False,False,False,False,,,1.1,,,,,,,,,,,,118.05,,50.97,,,,49.0,146.2,34.7,0.67,,,,,,,,,,,,,,,,,,,,,,,,
44,Lao,J001155.4-020717,2.97933,-2.12042,0.40831,False,False,False,True,False,False,False,False,False,25.61,,1.28,,,,,DESI J001155.04-020713.5,,,,,,p,58.47,,22.1,,,309.0,55.0,131.9,40.9,1.69,,,,,,,,,,,,,,CFSFDP J001206.3-020713,0.5017,s,1957.0,168.0,1061.0,0.461,17.26,0.79,11.0,
45,Lao,J001203.7-045009,3.01245,-4.83768,0.91337,False,False,True,True,False,False,False,False,False,26.65,,1.34,,,,,DESI J001202.99-045015.7,,,,,,p,80.66,,29.15,,,483.0,60.0,132.0,38.8,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lao,J001215.2+092009,3.06202,9.3357,0.54019,False,False,True,True,False,False,False,False,False,25.84,8.88,0.86,,,,,WISEA J001214.88+092008.5,,,,,,s,59.01,,30.59,,,236.0,36.0,126.4,22.4,2.01,-24.08,,,,,,,,,,,,,WHL J001214.9+092009,0.5402,s,2085.0,0.0,0.0,0.834,61.31,2.72,27.0,
47,Lao+Sasmal,J001248.7-060652,3.2027,-6.11754,0.202,False,False,True,False,True,False,False,False,False,24.92,8.34,0.94,,,,,WISEA J001248.64-060703.1,f,,15,2MASX,,s,66.27,,32.27,,,99.0,29.0,36.1,6.1,1.3,-23.11,,,,,,,,,,,,,WHL J001252.1-060715,0.2035,s,860.0,53.0,184.0,0.923,57.12,2.54,29.0,Y
48,Lao,J001506.5+120304,3.77799,12.05165,0.47987,False,False,True,True,False,False,False,False,False,25.37,,0.51,,,,,SDSS J001506.71+120305.9,,,,,,s,30.43,,20.58,,,178.0,29.0,169.7,30.1,1.65,-22.44,,,,,,,,,,,,,CFSFDP J001511.6+120206,0.8285,p,2953.0,93.0,728.0,0.559,23.73,1.08,9.0,
49,Lao,J001519.1-014314,3.82785,-1.72143,1.06066,False,False,True,True,False,False,False,False,False,26.32,,1.2,,,,,DESI J001518.68-014317.1,,,,,,p,28.25,,11.3,,,359.0,43.0,154.6,41.6,2.95,,,,,,,,,,,,,,WH J001522.3-014511,0.9889,p,3374.0,126.0,1036.0,0.418,10.86,0.51,6.0,
50,Lao,J001542.7-004841,3.92821,-0.81299,0.15426,False,True,False,True,False,False,False,False,False,24.95,8.28,1.09,,,,,WISEA J001542.77-004846.7,,,,,,s,125.67,,54.57,,,141.0,51.0,158.8,51.0,1.14,-22.61,,,,,,,,,,,,,maxBCG J001542.8-004847,0.1543,s,661.0,0.0,0.0,0.583,17.62,0.81,13.0,
51,Lao,J001643.1-064407,4.1783,-6.73642,0.40404,False,False,False,True,False,False,False,False,False,25.67,8.99,0.97,,,,,SDSS J001642.79-064411.1,,,,,,s,76.89,,36.77,,,268.0,48.0,131.5,22.6,1.84,-23.12,,,,,,,,,,,,,WHL J001642.8-064411,0.4071,s,1630.0,0.0,0.0,0.7,33.2,1.5,17.0,
52,Sasmal,J001732.2-014923,4.3845,-1.82325,,False,False,True,True,False,False,False,False,False,,,,,,,,,,a,,EE,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sasmal,J001737.7+082752,4.407083333,8.464694444,,False,True,False,False,True,False,False,False,False,,,,,,,,,,,,EE,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Lao,J001802.1-081714,4.50854,-8.28602,0.62522,False,False,False,True,False,False,False,False,False,25.59,8.36,0.71,,,,,WISEA J001802.05-081709.6,,,,,,s,25.69,,14.93,,,210.0,30.0,137.4,21.4,1.81,-22.9,,,,,,,,,,,,,Y21 J001802.0-081710,0.6251,s,2357.0,0.0,0.0,0.675,38.28,1.72,17.0,
55,Lao,J001835.7+121222,4.64747,12.20463,0.18109,False,False,False,True,False,False,False,False,False,24.48,,0.89,,,,,DESI J001835.39+121216.7,,,,,,p,31.11,,15.83,,,91.0,29.0,99.0,14.6,1.28,,,,,,,,,,,,,,AMF J001836.0+121210,0.205,p,866.0,10.0,35.0,0.643,19.55,0.9,10.0,
56,Lao,J001916.9-010402,4.82278,-1.06599,0.37181,False,False,True,True,False,False,False,False,False,25.68,8.34,0.61,,,,,DESI J001917.47-010357.6,,,,,,s,107.07,,67.34,,,355.0,67.0,142.9,343.0,1.45,-22.51,,,,,,,,,,,,,,,,,,,,,,,
57,Lao,J001933.9+113322,4.89148,11.55604,0.54945,False,False,True,True,False,False,False,False,False,25.15,7.57,0.29,,,,,WISEA J001933.95+113321.7,,,,,,s,15.1,,12.07,,,158.0,24.0,169.0,40.0,1.55,-21.89,,,,,,,,,,,,,WH J001934.0+113322,0.5494,s,2115.0,0.0,0.0,0.376,10.8,0.5,6.0,
58,Lao+Sasmal,J002008.0-095053,5.03323,-9.84763,0.83875,False,False,False,True,False,False,False,False,False,25.53,,0.58,,,,,DESI J002007.97-095051.5,f,,1,EE,,p,12.26,,7.88,,,212.0,27.0,163.0,33.2,1.91,,,,,,,,,,,,,,WH J002008.0-095051,0.8605,p,3040.0,0.0,0.0,0.47,21.08,0.96,8.0,
60,Lao,J002041.4-112103,5.17406,-11.34931,0.15286,False,True,False,True,False,False,False,False,False,25.49,,1.32,,,,,WISEA J002041.77-112057.5,j,,,,,s,430.78,,157.38,,,195.0,71.0,99.0,23.3,1.19,,,,,,,,,,,,,,WHL J002041.8-112058,0.1634,p,698.0,0.0,0.0,0.829,42.15,1.89,18.0,
61,Lao,J002156.2-083320,5.48566,-8.55643,0.9228,False,False,False,True,False,False,False,False,False,26.04,,1.41,,,,,DESI J002156.56-083323.2,,,,,,p,18.61,,6.35,,,161.0,20.0,116.1,17.7,2.29,,,,,,,,,,,,,,Y21 J002156.6-083323,1.004,p,3411.0,0.0,0.0,0.666,49.33,2.2,11.0,
62,Lao,J002157.2+091906,5.48833,9.31692,0.4465,False,False,True,True,False,False,False,False,False,25.56,,0.9,,,,,WISEA J002157.19+091900.8,,,,,,s,48.65,,24.59,,,183.0,31.0,123.3,15.8,1.99,,,,,,,,,,,,,,WHL J002157.2+091901,0.4465,s,1768.0,0.0,0.0,0.781,47.96,2.14,33.0,
63,Lao,J002216.7+010402,5.56875,1.06815,0.53403,False,False,False,True,False,False,False,False,False,25.69,8.52,1.17,,,,,WISEA J002216.49+010405.3,,,,,,s,38.08,,15.64,,,306.0,47.0,158.0,62.2,1.93,-23.2,,,,,,,,,,,,,WH J002216.5+010405,0.534,s,2065.0,0.0,0.0,0.489,11.12,0.52,6.0,
64,Lao,J002224.4+080220,5.60284,8.03934,0.40221,False,True,False,False,True,False,False,False,False,25.45,,1.0,,,,,DESI J002224.68+080221.6,,,,,,p,45.84,,21.32,,,117.0,21.0,72.0,23.3,1.87,,,,,,,,,,,,,,redMaPPer J002224.7+080222,0.4171,p,1665.0,0.0,0.0,0.778,46.63,2.08,27.0,
65,Lao,J002318.8+021244,5.82744,2.2125,0.6106,False,False,True,True,False,False,False,False,False,26.05,8.64,1.13,,,,,SDSS J002318.58+021244.9,,,,,,s,63.63,,26.88,,,201.0,29.0,136.9,14.8,1.92,-22.52,,,,,,,,,,,,,WH J002326.6+021415,0.4166,s,1664.0,150.0,854.0,0.581,15.35,0.71,9.0,
66,Lao,J002325.7+101708,5.85723,10.28558,,False,False,True,True,False,False,False,False,False,,,1.03,,,,,,,,,,,,25.12,,11.49,,,,35.0,159.8,46.6,,,,,,,,,,,,,,,,,,,,,,,,,
67,Lao,J002336.5+041610,5.90297,4.27032,0.10909,False,True,False,True,False,False,False,False,False,24.89,,2.16,,,,,DESI J002336.71+041613.2,,,,,,p,207.54,,40.15,,,51.0,25.0,116.2,8.6,1.01,,,,,,,,,,,,,,Y21 J002336.7+041613,0.1035,s,449.0,0.0,0.0,0.556,14.9,0.69,6.0,
68,Lao+Sasmal,J002346.8+071759,5.94192,7.29874,0.25119,False,True,False,False,True,False,False,False,False,25.17,8.37,0.81,,,,,WISEA J002346.06+071755.4,f,,"1, 2, 10",2MASX,,s,74.44,,40.12,,,121.0,30.0,49.8,8.8,1.42,-23.87,,,,,,,,,,,,,AMF J002346.1+071756,0.2561,s,1068.0,0.0,0.0,1.015,80.93,3.56,50.0,Y
69,Lao,J002346.8-032835,5.94557,-3.47774,0.43045,False,True,False,True,False,False,False,False,False,25.53,9.4,0.88,,,,,DESI J002346.94-032839.9,,,,,,p,49.61,,25.34,,,139.0,24.0,103.3,15.1,1.92,-23.15,,,,,,,,,,,,,WHL J002346.9-032840,0.4234,s,1688.0,0.0,0.0,0.825,54.56,2.43,30.0,
70,Lao,J002436.1-080953,6.14995,-8.16405,0.44238,False,True,False,True,False,False,False,False,False,25.35,9.88,1.01,,,,,WISEA J002435.98-080950.5,,,,,,s,29.15,,13.48,,,117.0,20.0,94.1,7.7,1.9,-23.59,,,,,,,,,,,,,AMF J002436.0-080950,0.4424,s,1754.0,0.0,0.0,0.706,36.08,1.62,25.0,
71,Lao,J002523.0-020216,6.34561,-2.03785,0.21697,False,False,True,True,False,False,False,False,False,24.4,8.54,0.33,,,,,WISEA J002522.94-020216.2,,,,,,s,19.31,,15.02,,,116.0,32.0,141.9,15.6,1.34,-23.28,,,,,,,,,,,,,WHL J002522.9-020216,0.217,s,914.0,0.0,0.0,0.803,42.64,1.91,31.0,
72,Lao,J002528.0+030555,6.36673,3.09737,0.36232,False,True,False,True,False,False,False,False,False,25.18,8.7,1.03,,,,,SDSS J002528.01+030550.5,,,,,,s,31.28,,14.26,,,229.0,44.0,166.8,66.7,1.75,-23.0,,,,,,,,,,,,,AMF J002532.0+030751,0.3645,s,1476.0,135.0,708.0,0.762,41.67,1.87,20.0,
73,Lao,J002603.7-064224,6.51536,-6.70856,0.42547,False,False,True,True,False,False,False,False,False,25.69,8.65,1.39,,,,,WISEA J002603.68-064230.8,,,,,,s,60.5,,20.96,,,317.0,55.0,145.6,24.7,1.67,-22.52,,,,,,,,,,,,,WH J002558.4-064240,0.7028,s,2593.0,80.0,591.0,0.455,15.08,0.7,6.0,
74,Lao,J002630.1+005300,6.62686,0.88339,1.21087,False,False,True,True,False,False,False,False,False,26.3,,0.87,,,,,DESI J002630.45+005300.2,,,,,,p,25.1,,12.91,,,333.0,39.0,136.6,18.1,,,,,,,,,,,,,,,CFSFDP J002631.6+005423,0.4486,s,1776.0,84.0,499.0,0.495,10.47,0.49,6.0,
75,Lao,J002632.5-110645,6.63722,-11.11319,0.61447,False,False,False,True,False,False,False,False,False,25.21,,0.43,,,,,DESI J002632.93-110647.5,,,,,,p,12.75,,9.22,,,244.0,35.0,114.8,28.3,1.84,,,,,,,,,,,,,,Y21 J002632.9-110647,0.6301,p,2372.0,0.0,0.0,0.724,41.88,1.88,26.0,
76,Lao+Sasmal,J002719.3+022433,6.82955,2.40798,0.1583,False,False,False,True,False,False,False,False,False,25.02,,1.42,,,,,WISEA J002719.09+022428.7,f,,"1, 2",2MASX,,s,132.31,,44.78,,,138.0,49.0,138.0,26.8,1.06,,,,,,,,,,,,,,AMF J002719.1+022429,0.1217,s,525.0,0.0,0.0,0.757,31.2,1.41,22.0,Y
77,Lao,J002727.9+121330,6.86565,12.22335,1.17955,False,False,False,True,False,False,False,False,False,26.17,,0.62,,,,,DESI J002727.76+121324.1,,,,,,p,24.09,,15.03,,,263.0,31.0,123.7,23.4,,,,,,,,,,,,,,,,,,,,,,,,,
78,Lao,J002750.3+094210,6.96028,9.70212,0.10737,False,False,True,True,False,False,False,False,False,24.92,,0.94,,,,,DESI J002750.47+094207.6,,,,,,p,261.29,,127.22,,,116.0,57.0,168.8,122.7,0.87,,,,,,,,,,,,,,WH J002756.1+094120,1.1321,p,3717.0,96.0,811.0,0.51,20.87,0.95,11.0,
79,Lao,J002827.7-043123,7.11547,-4.52317,,False,False,True,True,False,False,False,False,False,,,1.41,,,,,,,,,,,,40.54,,13.85,,,,57.0,143.7,46.1,,,,,,,,,,,,,,,,,,,,,,,,,
80,Lao,J002836.3+085913,7.14985,8.98745,0.56649,False,False,True,True,False,False,False,False,False,25.5,8.6,0.56,,,,,SDSS J002835.96+085914.8,,,,,,s,27.76,,18.15,,,181.0,27.0,159.5,24.9,1.89,-22.71,,,,,,,,,,,,,WHL J002836.0+085915,0.5665,s,2171.0,0.0,0.0,0.654,21.98,1.0,13.0,
