RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,"L_rad,t",Size_rad,Mstar,R_50,g-r,D_4000,C,mu_50,M_{BH},eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Plate,Julian,Fibre,SNVSS,SFIRST,RCl,Offset,FIRST_ID,NVSS_ID
13.72955,0.97917,0.229,False,False,True,False,False,False,True,False,False,24.92,22.45,,,,,,,,,,,,,,,299,51671,569,57.2,21.1,2,1.06,J005455.0+005845,J005455+005845
13.946082,-1.19628,0.396,False,False,True,False,False,False,False,False,False,25.58,23.09,,,,,,,,,,,,,,,301,51641,218,75.8,18.7,2,0.4,J005547.0-011146,J005547-011146
14.249053,0.20639,0.127,False,True,False,True,False,False,False,False,False,24.63,78.31,,,,,,,,,,,,,,,303,51615,465,104.2,10.9,4,2.5,J005659.7+001223,J005659+001223
14.257974,1.0965,0.1646,False,False,True,False,False,False,True,False,False,24.86,112.04,,,,,,,,,,,,,,,303,51615,521,101.0,13.4,4,0.39,J005701.9+010547,J005701+010547
14.40093,0.4994,0.125,False,False,False,False,False,False,True,False,False,24.57,38.9,,,,,,,,,,,,,,,305,51613,380,94.7,25.9,2,2.7,J005736.2+002957,J005736+002957
14.640585,-1.00029,0.2173,False,True,False,False,False,False,True,False,False,25.04,25.27,,,,,,,,,,,,,,,307,51663,136,85.0,,2,,,J005833-010001
14.655278,0.63861,0.1502,False,True,False,False,False,False,True,False,False,24.43,36.24,,,,,,,,,,,,,,,307,51663,485,45.8,14.2,2,1.15,J005837.2+003818,J005837+003818
14.646775,0.6824,0.1503,False,True,False,False,False,False,False,False,False,24.99,54.27,,,,,,,,,,,,,,,307,51663,499,166.0,20.0,2,0.75,J005835.2+004056,J005835+004056
14.838663,-1.11319,0.1195,False,False,True,False,False,False,False,False,False,24.55,8.77,,,,,,,,,,,,,,,308,51662,8,99.2,,2,,,J005921-010647
14.790012,-0.40305,0.175,False,True,False,False,False,False,True,False,False,24.52,71.44,,,,,,,,,,,,,,,308,51662,178,41.0,3.4,4,0.39,J005909.6-002410,J005909-002410
15.27341,-0.83003,0.376,False,False,True,False,False,False,False,False,False,25.65,9.24,,,,,,,,,,,,,,,312,51689,220,101.3,,2,,,J010105-004948
15.239794,1.19188,0.1253,False,True,False,False,False,False,False,False,False,24.33,38.2,,,,,,,,,,,,,,,312,51689,364,54.0,1.5,2,0.88,J010057.5+011130,J010057+011130
15.277839,0.25051,0.0526,False,False,True,False,False,False,False,False,False,25.25,254.32,,,,,,,,,,,,,,,312,51689,471,2722.0,755.7,4,0.37,J010106.6+001501,J010106+001501
15.445014,0.89136,0.116,False,True,False,False,False,False,False,False,False,24.85,38.57,,,,,,,,,,,,,,,313,51673,616,210.0,86.0,2,1.39,J010146.8+005328,J010146+005328
15.596852,-0.5313,0.3739,False,False,True,False,False,False,False,False,False,25.41,13.24,,,,,,,,,,,,,,,314,51641,23,59.2,,2,,,J010223-003152
11.847497,-3.18697,0.1285,False,False,True,False,False,False,False,False,False,24.34,9.23,,,,,,,,,,,,,,,329,52056,2,52.6,,2,,,J004723-031113
11.953437,-3.35214,0.08202,True,False,False,False,False,False,False,False,False,,,10.87,4.8798226635232265,0.94,1.56,3.13,8.69501,7.38,-1.111,-2.553,0.301,-0.899,0.277,6.35,0.0,331,52368,283,50.7,50.9,1,0.44,J004748.8-032107,J004748-032107
11.998453,-1.3523,0.3738,False,False,True,False,False,False,False,False,False,25.6,108.31,,,,,,,,,,,,,,,331,52368,406,91.0,,4,,,J004759-012108
12.04511,-1.39607,0.248,False,False,True,False,False,False,False,False,False,25.01,9.1,,,,,,,,,,,,,,,331,52368,528,59.1,,2,,,J004810-012345
12.034274,-1.42949,0.2654,False,False,True,False,False,False,False,False,False,24.94,35.59,,,,,,,,,,,,,,,331,52368,535,43.3,19.5,2,0.4,J004808.2-012546,J004808-012546
12.151889,-2.96252,0.4808,False,False,True,False,False,False,False,False,False,26.38,35.25,,,,,,,,,,,,,,,332,52367,230,306.2,54.2,2,1.77,J004836.4-025745,J004836-025745
12.875193,-1.33808,0.3576,False,False,True,False,False,False,False,False,False,26.0,31.88,,,,,,,,,,,,,,,337,51997,532,255.2,,2,,,J005130-012017
12.977295,-1.57486,0.08616,True,False,False,False,False,False,False,False,False,,,11.39,5.988746058480858,1.02,1.87,3.12,9.03715,8.32,1.136,-0.462,0.477,2.529,-0.677,6.04,0.0,338,51694,529,46.5,35.0,1,2.34,J005154.5-013429,J005154-013429
13.018761,-3.44796,0.0834,False,False,True,False,False,False,False,False,False,24.28,10.12,,,,,,,,,,,,,,,339,51692,291,112.6,,2,,,J005204-032652
13.242905,-1.72762,0.2197,False,False,True,False,False,False,False,False,False,25.15,50.01,,,,,,,,,,,,,,,340,51691,516,104.5,9.5,2,0.53,J005258.2-014339,J005258-014339
16.064299,0.11354,0.1592,False,False,True,False,False,False,True,False,False,24.86,172.58,,,,,,,,,,,,,,,344,51693,473,110.0,3.6,4,1.4,J010415.4+000648,J010415+000648
16.979768,62.94017,0.1063,False,False,True,False,False,False,False,False,False,24.86,138.8,,,,,,,,,,,,,,,349,51699,169,258.0,,4,,,J010755+625624
16.944289,63.28403,0.385,False,False,True,False,False,False,False,False,False,25.33,18.59,,,,,,,,,,,,,,,349,51699,198,45.6,,2,,,J010746+631702
17.206437,64.03252,0.0798,False,True,False,False,False,True,False,False,False,24.36,50.73,11.13,3.2392821112005183,1.02,2.02,3.03,9.31092,8.41,2.373,0.142,-99.0,4.092,-1.525,5.85,0.0,350,51691,203,150.0,14.3,4,1.2,J010849.5+640157,J010849+640157
17.168504,61.51878,0.18,False,True,False,False,False,False,True,False,False,24.55,82.2,,,,,,,,,,,,,,,351,51695,589,41.2,,4,,,J010840+613107
17.224752,64.04686,0.0784,False,False,True,False,False,False,False,False,False,24.57,21.49,,,,,,,,,,,,,,,352,51789,406,250.2,,2,,,J010853+640248
17.19388,58.05838,0.1466,False,True,False,False,False,False,False,False,False,24.37,54.47,,,,,,,,,,,,,,,355,51788,372,42.0,7.6,2,0.35,J010846.5+580330,J010846+580330
17.463804,53.781,0.2071,False,False,True,False,False,False,False,False,False,26.04,140.75,,,,,,,,,,,,,,,359,51821,502,942.0,,4,,,J010951+534651
17.489219,54.25722,0.0839,False,True,False,True,False,False,False,False,False,24.41,36.35,11.28,5.057070380494809,0.97,1.98,3.3,9.07402,8.45,0.692,-1.391,-99.0,1.546,-0.794,6.1,0.0,359,51821,563,150.0,16.4,4,0.51,J010957.4+541525,J010957+541525
17.52524,54.49172,0.238,False,False,False,False,False,False,True,False,False,24.87,61.43,,,,,,,,,,,,,,,360,51816,273,46.0,3.9,4,1.46,J011006.0+542930,J011006+542930
17.341197,59.22827,0.2211,False,False,True,False,False,False,True,False,False,25.05,43.89,,,,,,,,,,,,,,,366,52017,349,82.0,32.5,2,0.47,J010921.8+591341,J010921+591341
22.034684,-1.01705,0.1773,False,True,False,False,False,False,True,False,False,24.66,42.11,,,,,,,,,,,,,,,372,52173,45,55.0,,2,,,J012808-010101
21.958736,0.63252,0.3907,False,False,True,False,False,False,False,False,False,26.07,65.8,,,,,,,,,,,,,,,372,52173,422,243.0,,2,,,J012750+003757
22.415328,-0.38403,0.142,False,False,False,False,False,False,True,False,False,24.55,73.83,,,,,,,,,,,,,,,375,52140,153,68.0,2.7,4,2.94,J012939.6-002302,J012939-002302
22.40588,-0.52224,0.4066,False,False,True,False,False,False,False,False,False,25.43,36.69,,,,,,,,,,,,,,,375,52140,154,51.2,8.3,2,2.83,J012937.4-003120,J012937-003120
22.61851,-0.04243,0.1615,False,False,True,False,False,False,True,False,False,24.51,44.52,,,,,,,,,,,,,,,377,52145,496,47.8,9.3,2,1.21,J013028.4-000232,J013028-000232
22.856264,0.58671,0.1515,False,False,False,False,False,False,True,False,False,24.57,25.32,,,,,,,,,,,,,,,379,51789,388,63.0,6.8,2,0.64,J013125.5+003512,J013125+003512
23.057261,-0.3605,0.3441,False,True,False,False,False,False,True,False,False,25.22,33.79,,,,,,,,,,,,,,,380,51792,107,46.0,9.0,2,2.7,J013213.7-002137,J013213-002137
23.261694,-0.43525,0.091,False,False,True,False,False,False,True,False,False,23.96,50.37,11.11,5.253498126343399,0.99,1.95,3.4,8.87092,8.71,-1.275,-1.05,-99.0,-0.169,1.326,6.21,0.0,382,51816,189,45.0,,2,0.91,,J013302-002606
23.62938,-0.70307,0.2872,False,True,False,False,False,False,True,False,False,25.16,88.48,,,,,,,,,,,,,,,384,51821,72,60.0,7.5,4,2.58,J013431.0-004211,J013431-004211
23.555194,-0.45015,0.0585,False,False,True,False,False,False,True,False,False,24.02,188.53,,,,,,,,,,,,,,,384,51821,198,131.4,22.5,4,0.59,J013413.2-002700,J013413-002700
23.68327,0.08163,0.1848,False,False,True,False,False,False,True,False,False,25.73,80.63,,,,,,,,,,,,,,,385,51783,496,589.0,4.5,4,0.22,J013443.9+000453,J013443+000453
23.865116,0.55267,0.2704,False,True,False,True,False,False,False,False,False,24.95,55.8,,,,,,,,,,,,,,,386,51788,483,42.0,1.9,2,1.64,J013527.6+003309,J013527+003309
0.0450893,-0.22222,0.2989,False,False,True,False,False,False,True,False,False,25.04,35.63,,,,,,,,,,,,,,,388,51793,320,41.1,3.1,2,1.62,J000010.8-001319,J000010-001319
0.3521173,-0.92541,0.1082,False,False,True,False,False,False,False,False,False,24.51,41.4,,,,,,,,,,,,,,,390,51816,211,111.9,,2,,,J000124-005531
0.6978253,0.47639,0.152,False,False,True,False,False,False,True,False,False,24.72,33.83,,,,,,,,,,,,,,,393,51794,390,88.0,,4,,,J000247+002835
0.7346307,1.03133,0.1117,False,False,True,False,False,False,False,False,False,25.06,180.11,,,,,,,,,,,,,,,393,51794,445,366.0,11.0,4,0.33,J000256.3+010152,J000256+010152
0.8276286,0.99828,0.3047,False,False,True,False,False,False,False,False,False,25.58,34.35,,,,,,,,,,,,,,,394,51812,363,137.7,,2,,,J000318+005953
0.9505713,-0.87518,0.0442,False,True,False,False,False,False,True,False,False,23.46,43.89,,,,,,,,,,,,,,,395,51783,138,64.0,32.3,2,0.19,J000348.1-005230,J000348-005230
1.1154967,0.52299,0.1538,False,True,False,False,False,False,False,False,False,24.43,26.95,,,,,,,,,,,,,,,396,51816,628,43.6,12.4,2,1.47,J000427.7+003122,J000427+003122
1.240442,0.49241,0.3546,False,False,True,False,False,False,False,False,False,25.56,43.51,,,,,,,,,,,,,,,397,51794,549,94.0,4.9,4,0.1,J000457.7+002932,J000457+002932
1.2543854,0.21349,0.04509,True,False,False,False,False,False,False,False,False,,,11.09,3.873172931843383,1.06,1.93,3.15,9.11569,8.46,2.055,-0.966,-99.0,3.127,-1.871,6.02,0.0,398,51789,431,42.6,45.0,1,0.06,J000501.0+001248,J000501+001248
1.3656673,-0.49038,0.4364,False,False,True,False,False,False,False,False,False,25.98,52.49,,,,,,,,,,,,,,,399,51817,270,153.2,,4,,,J000527-002925
1.5464353,1.26271,0.1256,False,False,True,False,False,False,False,False,False,24.93,82.13,,,,,,,,,,,,,,,400,51820,412,212.0,1.6,4,0.31,J000611.1+011545,J000611+011545
1.5258114,0.55597,0.0792,False,True,False,False,False,False,True,False,False,24.87,78.62,11.59,10.163440830418043,1.04,2.04,3.12,8.77774,8.53,1.506,0.691,-99.0,3.571,-0.355,6.2,0.0,400,51820,424,488.0,126.4,4,1.33,J000606.1+003321,J000606+003321
2.0022067,0.02419,0.3793,False,True,False,False,False,False,False,False,False,25.46,27.96,,,,,,,,,,,,,,,403,51871,74,64.0,,2,,,J000800+000127
1.946828,-1.11374,0.2375,False,False,True,False,False,False,False,False,False,24.95,15.46,,,,,,,,,,,,,,,403,51871,248,55.6,,2,,,J000747-010649
2.0478026,-0.81464,0.254,False,False,True,False,False,False,False,False,False,25.84,10.98,,,,,,,,,,,,,,,404,51812,256,375.7,,2,,,J000811-004852
2.243678,0.70981,0.29,False,False,True,False,False,False,False,False,False,25.47,30.76,,,,,,,,,,,,,,,405,51816,442,118.8,50.6,2,1.11,J000858.4+004235,J000858+004235
2.4040487,0.56306,0.14,False,True,False,False,False,False,False,False,False,24.37,93.07,,,,,,,,,,,,,,,406,51817,510,47.0,,4,,,J000936+003347
2.5077939,1.14716,0.2673,False,True,False,True,False,False,False,False,False,25.37,31.83,,,,,,,,,,,,,,,407,51820,408,115.0,2.0,2,2.96,J001001.8+010849,J001001+010849
7.7990046,37.44205,0.3393,False,False,True,False,False,False,True,False,False,25.34,10.15,,,,,,,,,,,,,,,433,51873,5,61.6,,2,,,J003111+372631
7.9102971,39.17994,0.09602,True,False,False,False,False,False,False,False,False,,,11.23,5.780876878253935,0.67,1.3,3.36,8.90783,8.05,-0.48,0.183,0.301,1.335,1.28,6.13,0.0,435,51882,11,56.3,48.8,1,0.24,J003138.4+391047,J003138+391047
8.0188614,43.84182,0.2553,False,False,True,False,False,False,False,False,False,25.14,18.84,,,,,,,,,,,,,,,436,51883,10,73.5,,2,,,J003204+435030
8.1904546,43.62842,0.1431,False,True,False,False,False,False,True,False,False,25.0,13.72,,,,,,,,,,,,,,,439,51877,44,190.3,,2,,,J003245+433742
8.2929062,44.98079,0.1421,False,False,True,False,False,False,False,False,False,24.85,24.73,,,,,,,,,,,,,,,439,51877,637,135.6,,2,,,J003310+445850
8.3172526,49.62666,0.3471,False,False,True,False,False,False,False,False,False,25.25,8.04,,,,,,,,,,,,,,,440,51885,583,47.9,,2,,,J003316+493735
8.3002065,49.93665,0.2802,False,True,False,True,False,False,False,False,False,25.38,34.09,,,,,,,,,,,,,,,442,51882,241,103.9,,2,,,J003312+495611
8.3165939,49.7767,0.09518,True,False,False,False,False,False,False,False,False,,,11.3,7.182864105229456,1.01,1.98,2.92,8.78923,8.21,-0.113,1.598,0.477,2.53,1.76,6.12,0.0,442,51882,258,80.1,12.5,1,0.76,J003315.9+494636,J003315+494636
8.426472,48.29534,0.183,False,True,False,False,False,False,False,False,False,24.7,40.19,,,,,,,,,,,,,,,443,51873,174,56.0,5.1,2,1.99,J003342.3+481743,J003342+481743
8.4325053,52.50459,0.4667,False,False,True,False,False,False,False,False,False,25.66,50.25,,,,,,,,,,,,,,,444,51883,303,62.4,3.4,2,1.44,J003343.8+523016,J003343+523016
8.6510712,54.11885,0.1702,False,False,True,False,False,False,True,False,False,24.73,28.03,,,,,,,,,,,,,,,446,51899,273,70.8,,2,,,J003436+540707
8.7330922,51.09031,0.1263,False,True,False,False,False,False,True,False,False,24.93,137.47,,,,,,,,,,,,,,,447,51877,292,209.6,77.6,4,0.63,J003455.9+510525,J003455+510525
8.8036591,57.00119,0.1937,False,False,True,False,False,False,False,False,False,25.51,143.37,,,,,,,,,,,,,,,448,51900,335,322.0,0.8,4,0.37,J003512.8+570004,J003512+570004
8.8848022,54.618,0.1133,False,True,False,False,False,False,False,False,False,25.07,72.25,,,,,,,,,,,,,,,449,51900,323,370.0,129.0,4,2.53,J003532.3+543704,J003532+543704
8.8227214,54.22513,0.1135,False,False,True,False,False,False,False,False,False,24.24,23.85,,,,,,,,,,,,,,,449,51900,342,53.7,,2,,,J003517+541330
9.2855509,55.15227,0.182,False,True,False,False,False,False,False,False,False,25.31,92.37,,,,,,,,,,,,,,,450,51908,38,228.0,,4,,,J003708+550908
9.0530955,54.06435,0.0831,False,True,False,False,False,False,True,False,False,24.09,13.86,,,,,,,,,,,,,,,450,51908,254,73.0,,2,,,J003612+540351
9.0306437,55.9243,0.1409,False,False,True,False,False,False,False,False,False,25.51,176.48,,,,,,,,,,,,,,,450,51908,330,638.0,,4,,,J003607+555527
9.3165253,55.32231,0.226,False,False,True,False,False,False,False,False,False,24.94,10.58,,,,,,,,,,,,,,,450,51908,638,61.4,,2,,,J003715+551920
2.3924355,-8.96087,0.4145,False,True,False,True,False,False,False,False,False,25.63,27.54,,,,,,,,,,,,,,,454,51908,271,77.0,,2,,,J000934-085739
2.4802361,-7.28307,0.3588,False,False,True,False,False,False,False,False,False,25.2,26.02,,,,,,,,,,,,,,,454,51908,524,40.0,,2,,,J000955-071659
2.7662621,-6.81686,0.1386,False,False,True,False,False,False,True,False,False,24.7,79.22,,,,,,,,,,,,,,,456,51910,449,102.0,5.3,4,1.56,J001103.9-064900,J001103-064900
2.8743126,-7.93479,0.07813,True,False,False,False,False,False,False,False,False,,,11.29,4.654678720455036,1.0,1.95,3.0,9.15604,8.42,-0.795,-2.22,-99.0,-0.393,0.165,5.9,0.0,457,51901,193,99.7,87.7,1,0.91,J001129.8-075605,J001129-075605
9.1698751,1.65105,0.2842,False,True,False,False,False,False,False,False,False,25.38,73.83,,,,,,,,,,,,,,,471,51924,119,102.0,2.3,4,0.42,J003640.7+013903,J003640+013903
9.2210215,0.74567,0.2253,False,False,True,False,False,False,False,False,False,24.76,37.53,,,,,,,,,,,,,,,472,51955,469,41.0,,2,,,J003653+004444
9.2429677,2.4546,0.3148,False,False,True,False,False,False,False,False,False,25.6,40.46,,,,,,,,,,,,,,,473,51929,325,133.3,1.3,2,0.77,J003658.3+022716,J003658+022716
9.4875061,0.40722,0.4568,False,False,True,False,False,False,True,False,False,25.52,9.75,,,,,,,,,,,,,,,474,52000,616,48.0,,2,,,J003757+002425
9.5892944,-0.06681,0.0908,True,False,False,False,False,False,False,False,False,,,10.74,3.147131572823984,0.96,1.76,3.23,8.94599,7.69,-0.677,-1.856,0.0,-0.063,0.266,6.49,0.0,476,52314,172,57.8,57.6,1,0.31,J003821.4-000400,J003821-000400
9.5753296,-0.38544,0.342,False,False,True,False,False,False,True,False,False,25.47,9.41,,,,,,,,,,,,,,,476,52314,194,82.5,,2,,,J003818-002307
9.8501607,1.38701,0.08915,True,False,False,False,False,False,False,False,False,,,11.24,5.276211654131022,0.87,1.82,2.91,8.99718,8.14,-0.353,-1.492,0.477,0.468,0.166,6.44,0.0,480,51989,79,48.1,50.5,1,0.15,J003924.0+012313,J003924+012313
9.7453298,2.79836,0.2204,False,True,False,True,False,False,False,False,False,25.65,151.41,,,,,,,,,,,,,,,480,51989,367,334.0,,4,,,J003858+024754
9.1641886,58.78445,0.2697,False,False,True,False,False,False,False,False,False,25.76,6.27,,,,,,,,,,,,,,,484,51907,497,272.1,119.7,2,2.98,J003639.4+584704,J003639+584704
10.292365,63.49828,0.1838,False,False,True,False,False,False,False,False,False,25.17,27.4,,,,,,,,,,,,,,,488,51914,191,162.7,,2,,,J004110+632953
10.011997,1.76887,0.3458,False,True,False,False,False,False,True,False,False,25.47,18.19,,,,,,,,,,,,,,,500,51994,111,80.0,,2,,,J004002+014607
9.9891022,1.29855,0.09942,True,False,False,False,False,False,False,False,False,,,11.48,8.274840741491746,0.94,1.88,3.38,8.8463,8.85,0.296,2.968,0.477,3.74,2.171,6.33,0.0,500,51994,146,411.4,97.3,1,0.83,J003957.3+011754,J003957+011754
9.9276316,1.59678,0.0986,False,True,False,True,False,False,False,False,False,24.54,87.34,11.31,4.828166244167915,0.86,1.78,3.52,9.14426,8.36,1.454,0.82,0.845,3.597,-0.229,6.2,0.0,500,51994,232,144.3,33.1,4,1.52,J003942.6+013548,J003942+013548
10.483065,3.12434,0.07256,True,False,False,False,False,False,False,False,False,,,11.42,5.095842288448385,1.02,1.99,3.34,9.20739,8.99,0.966,-0.444,0.778,2.374,-0.501,6.12,0.0,504,52316,540,128.0,13.8,1,0.62,J004155.9+030727,J004155+030727
10.547349,2.64139,0.126,False,True,False,False,False,False,True,False,False,24.34,113.26,,,,,,,,,,,,,,,504,52316,627,54.0,2.6,4,0.92,J004211.3+023829,J004211+023829
10.643509,1.29708,0.1285,False,True,False,False,False,False,False,False,False,25.12,95.92,,,,,,,,,,,,,,,506,52022,292,317.6,,4,,,J004234+011749
10.70871,2.6196,0.187,False,False,True,False,False,False,False,False,False,25.01,80.49,,,,,,,,,,,,,,,506,52022,485,110.0,,4,,,J004250+023710
10.941838,2.54582,0.1529,False,False,False,False,False,False,True,False,False,24.49,13.06,,,,,,,,,,,,,,,508,52366,341,51.4,3.3,2,0.95,J004346.0+023244,J004346+023244
10.959938,2.57139,0.3481,False,False,True,False,False,False,False,False,False,25.37,18.82,,,,,,,,,,,,,,,508,52366,352,63.4,,2,,,J004350+023417
11.134077,2.7671,0.1577,False,True,False,False,False,False,True,False,False,24.79,92.79,,,,,,,,,,,,,,,509,52374,422,94.0,,4,,,J004432+024601
11.246564,1.85423,0.3591,False,False,True,False,False,False,False,False,False,25.56,19.19,,,,,,,,,,,,,,,510,52381,131,90.9,,2,,,J004459+015115
11.250224,2.98561,0.2592,False,True,False,False,False,False,True,False,False,25.04,24.79,,,,,,,,,,,,,,,510,52381,481,57.0,,2,,,J004500+025908
11.419451,2.64684,0.2188,False,False,True,False,False,False,True,False,False,25.14,9.45,,,,,,,,,,,,,,,512,51992,396,105.4,,2,,,J004540+023848
11.493139,2.29244,0.1264,False,False,True,False,False,False,False,False,False,24.49,19.1,,,,,,,,,,,,,,,512,51992,594,76.6,,2,,,J004558+021732
11.797656,2.27337,0.2793,False,False,True,False,False,False,False,False,False,25.36,13.23,,,,,,,,,,,,,,,514,51994,75,99.9,,2,,,J004711+021624
11.716316,1.90618,0.1324,False,False,True,False,False,False,True,False,False,25.24,37.79,,,,,,,,,,,,,,,514,51994,221,386.3,82.3,2,0.56,J004651.9+015422,J004651+015422
11.906824,2.11471,0.1324,False,False,True,False,False,False,True,False,False,24.45,32.96,,,,,,,,,,,,,,,515,52051,167,63.0,,2,,,J004737+020652
12.068442,2.41156,0.0845,False,False,True,False,False,False,False,False,False,24.59,35.41,11.67,10.850940941897678,1.06,2.01,3.01,8.80089,8.48,0.564,-0.602,0.0,1.888,-0.201,5.95,0.0,517,52024,391,225.6,145.3,2,1.85,J004816.4+022441,J004816+022441
12.277813,3.70872,0.08,False,True,False,True,False,False,False,False,False,24.5,109.6,11.21,3.579301537369973,1.06,1.99,3.22,9.30422,8.47,0.912,-2.232,0.301,1.263,-1.506,6.05,0.0,518,52282,366,207.0,,4,,,J004906+034231
12.374647,2.50264,0.229,False,False,True,False,False,False,False,False,False,25.61,17.06,,,,,,,,,,,,,,,519,52283,475,278.2,,2,,,J004929+023009
12.454907,2.60166,0.2187,False,True,False,False,False,True,False,False,False,25.22,15.39,,,,,,,,,,,,,,,520,52288,351,126.0,10.2,2,0.56,J004949.1+023605,J004949+023605
