idx,radioname,ra,dec,Label
L0701,J080926.46+093405.9,08 09 26.46,+09 34 05.9,nat
L0781,J082041.27+164235.3,08 20 41.27,+16 42 35.3,nat
L0809,J082443.02+520027.1,08 24 43.02,+52 00 27.1,nat
L0827,J082730.01+081625.7,08 27 30.01,+08 16 25.7,nat
L0838,J082848.78+410547.9,08 28 48.78,+41 05 47.9,nat
L0843,J082910.73+632240.3,08 29 10.73,+63 22 40.3,nat
L0856,J083050.52+215606.1,08 30 50.52,+21 56 06.1,nat
L0864,J083140.51+125816.0,08 31 40.51,+12 58 16.0,nat
L0966,J084607.04+050729.2,08 46 07.04,+05 07 29.2,nat
L0986,J084746.34+113115.0,08 47 46.34,+11 31 15.0,nat
L1005,J085005.30+124616.5,08 50 05.30,+12 46 16.5,nat
L1017,J085110.18+161541.4,08 51 10.18,+16 15 41.4,nat
L1031,J085308.07+041425.1,08 53 08.07,+04 14 25.1,nat
L1056,J085633.04+294750.8,08 56 33.04,+29 47 50.8,nat
L1060,J085722.68+355756.9,08 57 22.68,+35 57 56.9,nat
L1064,J085756.68+170433.7,08 57 56.68,+17 04 33.7,nat
L1065,J085758.80+170334.3,08 57 58.80,+17 03 34.3,nat
L1066,J085759.18+145736.7,08 57 59.18,+14 57 36.7,nat
L1070,J085822.65-043855.5,08 58 22.65,-04 38 55.5,nat
L1075,J085840.40+162008.7,08 58 40.40,+16 20 08.7,nat
L1081,J085912.94+031401.7,08 59 12.94,+03 14 01.7,nat
L1106,J090124.29+025859.8,09 01 24.29,+02 58 59.8,nat
L1118,J090221.24+264323.7,09 02 21.24,+26 43 23.7,nat
L1126,J090304.53+450945.6,09 03 04.53,+45 09 45.6,nat
L1145,J090609.45+634852.8,09 06 09.45,+63 48 52.8,nat
L1146,J090616.20+441909.5,09 06 16.20,+44 19 09.5,nat
L1155,J090728.81+084525.2,09 07 28.81,+08 45 25.2,nat
L1178,J091028.16+211755.6,09 10 28.16,+21 17 55.6,nat
L1198,J091241.03+164240.5,09 12 41.03,+16 42 40.5,nat
L1213,J091419.08+240005.7,09 14 19.08,+24 00 05.7,nat
L1221,J091450.96+082440.8,09 14 50.96,+08 24 40.8,nat
L1250,J091931.57-014159.3,09 19 31.57,-01 41 59.3,nat
L1254,J091950.36+355018.0,09 19 50.36,+35 50 18.0,nat
L1260,J092109.19+385710.8,09 21 09.19,+38 57 10.8,nat
L1266,J092137.57+095006.5,09 21 37.57,+09 50 06.5,nat
L1272,J092222.23+270018.3,09 22 22.23,+27 00 18.3,nat
L1276,J092304.77+275835.9,09 23 04.77,+27 58 35.9,nat
L1305,J092644.91+030928.2,09 26 44.91,+03 09 28.2,nat
L1310,J092701.84+352513.8,09 27 01.84,+35 25 13.8,nat
L1311,J092703.44+542352.2,09 27 03.44,+54 23 52.2,nat
L1337,J093143.58+624707.2,09 31 43.58,+62 47 07.2,nat
L1341,J093233.62+024902.4,09 32 33.62,+02 49 02.4,nat
L1346,J093308.25+051450.4,09 33 08.25,+05 14 50.4,nat
L1402,J094048.91+370626.9,09 40 48.91,+37 06 26.9,nat
L1420,J094214.37+152258.8,09 42 14.37,+15 22 58.8,nat
L1444,J094647.90+181544.2,09 46 47.90,+18 15 44.2,nat
L1474,J095114.32+180211.4,09 51 14.32,+18 02 11.4,nat
L1478,J095154.61+300118.5,09 51 54.61,+30 01 18.5,nat
L1480,J095210.64+451343.6,09 52 10.64,+45 13 43.6,nat
L1503,J095539.14+013526.9,09 55 39.14,+01 35 26.9,nat
L1514,J095714.55+095243.2,09 57 14.55,+09 52 43.2,nat
L1535,J095955.53+105815.0,09 59 55.53,+10 58 15.0,nat
L1570,J100515.36+221037.4,10 05 15.36,+22 10 37.4,nat
L1615,J101306.93+553206.2,10 13 06.93,+55 32 06.2,nat
L1630,J101519.10+262800.5,10 15 19.10,+26 28 00.5,nat
L1651,J101719.55+622251.2,10 17 19.55,+62 22 51.2,nat
L1666,J101940.40+322707.1,10 19 40.40,+32 27 07.1,nat
L1674,J102153.78-072458.6,10 21 53.78,-07 24 58.6,nat
L1680,J102227.72+165325.2,10 22 27.72,+16 53 25.2,nat
L1707,J102620.82+303556.0,10 26 20.82,+30 35 56.0,nat
L1710,J102650.20-023446.2,10 26 50.20,-02 34 46.2,nat
L1720,J102815.59+615202.9,10 28 15.59,+61 52 02.9,nat
L1730,J102857.56+030734.7,10 28 57.56,+03 07 34.7,nat
L1734,J102911.68+100134.0,10 29 11.68,+10 01 34.0,nat
L1751,J103201.01+350247.7,10 32 01.01,+35 02 47.7,nat
L1755,J103214.45-001205.4,10 32 14.45,-00 12 05.4,nat
L1759,J103221.49+051432.3,10 32 21.49,+05 14 32.3,nat
L1765,J103307.22+090153.4,10 33 07.22,+09 01 53.4,nat
L1779,J103450.13+182317.8,10 34 50.13,+18 23 17.8,nat
L1795,J103708.95-055744.1,10 37 08.95,-05 57 44.1,nat
L1908,J105253.02+532738.4,10 52 53.02,+53 27 38.4,nat
L1980,J110407.40+372105.3,11 04 07.40,+37 21 05.3,nat
L1991,J110528.73+223725.6,11 05 28.73,+22 37 25.6,nat
L2011,J110734.35+091320.4,11 07 34.35,+09 13 20.4,nat
L2023,J110955.80+325154.7,11 09 55.80,+32 51 54.7,nat
L2027,J111032.65-015008.9,11 10 32.65,-01 50 08.9,nat
L2047,J111320.85+071034.3,11 13 20.85,+07 10 34.3,nat
L2048,J111321.01+205701.2,11 13 21.01,+20 57 01.2,nat
L2049,J111330.18+154217.5,11 13 30.18,+15 42 17.5,nat
L2051,J111341.10+250417.9,11 13 41.10,+25 04 17.9,nat
L2065,J111626.60+061011.0,11 16 26.60,+06 10 11.0,nat
L2084,J111951.88+162445.5,11 19 51.88,+16 24 45.5,nat
L2096,J112253.20+010646.7,11 22 53.20,+01 06 46.7,nat
L2099,J112327.14+122017.9,11 23 27.14,+12 20 17.9,nat
L2113,J112524.40+361822.3,11 25 24.40,+36 18 22.3,nat
L2121,J112658.33+635639.4,11 26 58.33,+63 56 39.4,nat
L2125,J112741.77+313531.4,11 27 41.77,+31 35 31.4,nat
L2129,J112824.55+101217.9,11 28 24.55,+10 12 17.9,nat
L2142,J112947.56+253326.4,11 29 47.56,+25 33 26.4,nat
L2147,J113007.25+231403.6,11 30 07.25,+23 14 03.6,nat
L2148,J113026.98+243407.6,11 30 26.98,+24 34 07.6,nat
L2162,J113157.34+390806.8,11 31 57.34,+39 08 06.8,nat
L2185,J113522.85-011516.2,11 35 22.85,-01 15 16.2,nat
L2247,J114312.29+164146.0,11 43 12.29,+16 41 46.0,nat
L2249,J114324.25+600728.9,11 43 24.25,+60 07 28.9,nat
L2273,J114639.42+224128.1,11 46 39.42,+22 41 28.1,nat
L2329,J115359.80+271133.0,11 53 59.80,+27 11 33.0,nat
L2370,J115824.50-061403.2,11 58 24.50,-06 14 03.2,nat
L2401,J120232.22-072527.5,12 02 32.22,-07 25 27.5,nat
L2420,J120438.34+195204.8,12 04 38.34,+19 52 04.8,nat
L2443,J120801.74+293822.5,12 08 01.74,+29 38 22.5,nat
L2449,J120828.95+342517.8,12 08 28.95,+34 25 17.8,nat
L2473,J121127.17+470333.9,12 11 27.17,+47 03 33.9,nat
L2477,J121210.33+422301.8,12 12 10.33,+42 23 01.8,nat
L2497,J121534.63+014436.0,12 15 34.63,+01 44 36.0,nat
L2513,J121659.74+323103.3,12 16 59.74,+32 31 03.3,nat
L2518,J121723.28+603506.9,12 17 23.28,+60 35 06.9,nat
L2566,J122319.20+052135.3,12 23 19.20,+05 21 35.3,nat
L2587,J122530.68+462956.6,12 25 30.68,+46 29 56.6,nat
L2611,J123002.26+172434.2,12 30 02.26,+17 24 34.2,nat
L2627,J123255.36+424016.2,12 32 55.36,+42 40 16.2,nat
L2682,J124058.67+183227.0,12 40 58.67,+18 32 27.0,nat
L2698,J124300.36+334813.6,12 43 00.36,+33 48 13.6,nat
L2733,J124744.81+230030.6,12 47 44.81,+23 00 30.6,nat
L2735,J124754.77+012004.2,12 47 54.77,+01 20 04.2,nat
L2772,J125355.66+514828.8,12 53 55.66,+51 48 28.8,nat
L2803,J125819.22+443152.9,12 58 19.22,+44 31 52.9,nat
L2822,J130123.54+501834.7,13 01 23.54,+50 18 34.7,nat
L2865,J130844.74+091057.0,13 08 44.74,+09 10 57.0,nat
L2873,J130954.57-065445.4,13 09 54.57,-06 54 45.4,nat
L2885,J131117.95+192239.3,13 11 17.95,+19 22 39.3,nat
L2892,J131327.87+315525.1,13 13 27.87,+31 55 25.1,nat
L2930,J131757.11+314458.8,13 17 57.11,+31 44 58.8,nat
L2965,J132256.67+581017.6,13 22 56.67,+58 10 17.6,nat
L2994,J132551.18+054621.9,13 25 51.18,+05 46 21.9,nat
L3028,J133007.34+270354.0,13 30 07.34,+27 03 54.0,nat
L3029,J133010.26-020600.6,13 30 10.26,-02 06 00.6,nat
L3036,J133104.28+064116.5,13 31 04.28,+06 41 16.5,nat
L3103,J133759.59+212802.9,13 37 59.59,+21 28 02.9,nat
L3197,J135213.74+610426.8,13 52 13.74,+61 04 26.8,nat
L3234,J135703.36+113859.4,13 57 03.36,+11 38 59.4,nat
L3264,J135950.28-010237.2,13 59 50.28,-01 02 37.2,nat
L3291,J140316.59+234919.7,14 03 16.59,+23 49 19.7,nat
L3308,J140514.49+032943.1,14 05 14.49,+03 29 43.1,nat
L3354,J141224.78+271801.1,14 12 24.78,+27 18 01.1,nat
L3363,J141330.77+484435.1,14 13 30.77,+48 44 35.1,nat
L3404,J141906.77+055500.3,14 19 06.77,+05 55 00.3,nat
L3410,J141943.64+334103.9,14 19 43.64,+33 41 03.9,nat
L3452,J142457.64+124515.2,14 24 57.64,+12 45 15.2,nat
L3466,J142709.94+102629.4,14 27 09.94,+10 26 29.4,nat
L3469,J142755.43+255434.7,14 27 55.43,+25 54 34.7,nat
L3509,J143225.23+124726.9,14 32 25.23,+12 47 26.9,nat
L3543,J143605.39+142912.0,14 36 05.39,+14 29 12.0,nat
L3577,J144002.68+134216.9,14 40 02.68,+13 42 16.9,nat
L3662,J145144.53+162251.3,14 51 44.53,+16 22 51.3,nat
L3717,J145841.68+100619.8,14 58 41.68,+10 06 19.8,nat
L3735,J150107.56+521506.6,15 01 07.56,+52 15 06.6,nat
L3762,J150453.96+444907.8,15 04 53.96,+44 49 07.8,nat
L3783,J150836.68+583342.6,15 08 36.68,+58 33 42.6,nat
L3786,J150906.07-044504.8,15 09 06.07,-04 45 04.8,nat
L3838,J151902.42+540038.6,15 19 02.42,+54 00 38.6,nat
L3852,J152033.49+560313.0,15 20 33.49,+56 03 13.0,nat
L3891,J152701.09+204230.0,15 27 01.09,+20 42 30.0,nat
L4059,J155522.32+453058.6,15 55 22.32,+45 30 58.6,nat
L4061,J155549.94+350632.6,15 55 49.94,+35 06 32.6,nat
L4141,J160913.76+033458.2,16 09 13.76,+03 34 58.2,nat
L4159,J161317.88+560118.4,16 13 17.88,+56 01 18.4,nat
L4166,J161402.35+544420.8,16 14 02.35,+54 44 20.8,nat
L4339,J164329.98+140624.2,16 43 29.98,+14 06 24.2,nat
L4431,J170226.42+610903.4,17 02 26.42,+61 09 03.4,nat
L4445,J170455.62+443225.9,17 04 55.62,+44 32 25.9,nat
L4468,J171026.45+451143.8,17 10 26.45,+45 11 43.8,nat
L4585,J211203.84+102914.3,21 12 03.84,+10 29 14.3,nat
L4597,J212615.53-071042.5,21 26 15.53,-07 10 42.5,nat
L4598,J212632.94-002925.8,21 26 32.94,-00 29 25.8,nat
L4602,J212710.47-012713.1,21 27 10.47,-01 27 13.1,nat
L4705,J222421.75+012637.1,22 24 21.75,+01 26 37.1,nat
L4767,J230331.73+065746.0,23 03 31.73,+06 57 46.0,nat
L4808,J231920.37+100620.4,23 19 20.37,+10 06 20.4,nat
L4809,J231921.40-073752.2,23 19 21.40,-07 37 52.2,nat
L4814,J232248.18+010500.0,23 22 48.18,+01 05 00.0,nat
L4817,J232351.06+021701.7,23 23 51.06,+02 17 01.7,nat
L4825,J233033.81+092236.9,23 30 33.81,+09 22 36.9,nat
L4827,J233207.42-074446.1,23 32 07.42,-07 44 46.1,nat
L4833,J233334.96+102820.7,23 33 34.96,+10 28 20.7,nat
L4834,J233414.20-015710.8,23 34 14.20,-01 57 10.8,nat
L4848,J233819.85-085136.4,23 38 19.85,-08 51 36.4,nat
L4867,J235236.40-064004.2,23 52 36.40,-06 40 04.2,nat
L4874,J235611.14+112644.8,23 56 11.14,+11 26 44.8,nat
S0033,J073312.73+421300.9,07 33 12.73,+42 13 00.9,nat
S0036,J074101.20+262036.6,07 41 01.20,+26 20 36.6,nat
S0084,J090704.23+023438.1,09 07 04.23,+02 34 38.1,nat
S0102,J093523.36-032547.0,09 35 23.36,-03 25 47.0,nat
S0127,J100346.59+373056.5,10 03 46.59,+37 30 56.5,nat
S0208,J123720.33+201352.6,12 37 20.33,+20 13 52.6,nat
S0213,J124942.23+303837.9,12 49 42.23,+30 38 37.9,nat
S0222,J125941.85+461739.9,12 59 41.85,+46 17 39.9,nat
S0385,J001248.62-060703.1,00 12 48.62,-06 07 03.1,nat
S0386,J001737.70+082752.9,00 17 37.70,+08 27 52.9,nat
S0387,J002346.06+071755.5,00 23 46.06,+07 17 55.5,nat
S0388,J004149.95-092548.6,00 41 49.95,-09 25 48.6,nat
S0389,J004711.24+103458.2,00 47 11.24,+10 34 58.2,nat
S0390,J005443.83+030210.5,00 54 43.83,+03 02 10.5,nat
S0391,J005602.70-012003.5,00 56 02.70,-01 20 03.5,nat
S0392,J014023.32+022356.7,01 40 23.32,+02 23 56.7,nat
S0393,J014807.84+000052.2,01 48 07.84,+00 00 52.2,nat
S0394,J015043.47-081836.7,01 50 43.47,-08 18 36.7,nat
S0395,J021242.34-015547.7,02 12 42.34,-01 55 47.7,nat
S0396,J021619.98-024526.7,02 16 19.98,-02 45 26.7,nat
S0397,J022327.58+064039.1,02 23 27.58,+06 40 39.1,nat
S0398,J025620.02-054249.5,02 56 20.02,-05 42 49.5,nat
S0399,J031741.97-081639.8,03 17 41.97,-08 16 39.8,nat
S0400,J033434.09-010952.3,03 34 34.09,-01 09 52.3,nat
S0401,J033505.72+042017.1,03 35 05.72,+04 20 17.1,nat
S0402,J033750.21+042104.2,03 37 50.21,+04 21 04.2,nat
S0404,J035650.87+001323.2,03 56 50.87,+00 13 23.2,nat
S0405,J070336.36+514717.1,07 03 36.36,+51 47 17.1,nat
S0406,J070906.53+433135.4,07 09 06.53,+43 31 35.4,nat
S0407,J071449.33+363449.8,07 14 49.33,+36 34 49.8,nat
S0408,J071825.52+482020.6,07 18 25.52,+48 20 20.6,nat
S0409,J072011.94+361749.6,07 20 11.94,+36 17 49.6,nat
S0410,J072930.39+594952.0,07 29 30.39,+59 49 52.0,nat
S0411,J073113.85+325115.1,07 31 13.85,+32 51 15.1,nat
S0412,J073201.32+420829.9,07 32 01.32,+42 08 29.9,nat
S0414,J073441.42+361137.2,07 34 41.42,+36 11 37.2,nat
S0415,J073849.51+415907.5,07 38 49.51,+41 59 07.5,nat
S0416,J073854.99+384623.4,07 38 54.99,+38 46 23.4,nat
S0417,J074306.29+271014.2,07 43 06.29,+27 10 14.2,nat
S0419,J080344.68+395100.0,08 03 44.68,+39 51 00.0,nat
S0420,J081938.66+252222.8,08 19 38.66,+25 22 22.8,nat
S0421,J081939.25+574606.6,08 19 39.25,+57 46 06.6,nat
S0422,J082444.68+520033.8,08 24 44.68,+52 00 33.8,nat
S0423,J082712.91+382002.3,08 27 12.91,+38 20 02.3,nat
S0424,J082730.03+081626.1,08 27 30.03,+08 16 26.1,nat
S0425,J082839.63+243655.8,08 28 39.63,+24 36 55.8,nat
S0426,J082910.55+632228.5,08 29 10.55,+63 22 28.5,nat
S0427,J083050.27+215557.8,08 30 50.27,+21 55 57.8,nat
S0428,J083430.09+394509.5,08 34 30.09,+39 45 09.5,nat
S0429,J084447.54+253823.7,08 44 47.54,+25 38 23.7,nat
S0431,J085053.72+134900.3,08 50 53.72,+13 49 00.3,nat
S0432,J085110.34+161530.6,08 51 10.34,+16 15 30.6,nat
S0433,J085757.06+170447.3,08 57 57.06,+17 04 47.3,nat
S0434,J085839.90+162008.8,08 58 39.90,+16 20 08.8,nat
S0435,J090125.81+025928.8,09 01 25.81,+02 59 28.8,nat
S0436,J090230.30+350511.0,09 02 30.30,+35 05 11.0,nat
S0437,J090305.38+450959.7,09 03 05.38,+45 09 59.7,nat
S0438,J091450.71+082442.7,09 14 50.71,+08 24 42.7,nat
S0439,J091642.69+172920.4,09 16 42.69,+17 29 20.4,nat
S0441,J091940.43-012950.3,09 19 40.43,-01 29 50.3,nat
S0442,J092104.79+072338.3,09 21 04.79,+07 23 38.3,nat
S0444,J092704.27+542346.6,09 27 04.27,+54 23 46.6,nat
S0445,J093328.30+134137.5,09 33 28.30,+13 41 37.5,nat
S0446,J093643.62+034044.1,09 36 43.62,+03 40 44.1,nat
S0447,J094056.39+253059.5,09 40 56.39,+25 30 59.5,nat
S0448,J094214.45+152256.3,09 42 14.45,+15 22 56.3,nat
S0449,J094454.86-061607.9,09 44 54.86,-06 16 07.9,nat
S0450,J095113.21+180208.8,09 51 13.21,+18 02 08.8,nat
S0451,J095327.88+292419.8,09 53 27.88,+29 24 19.8,nat
S0452,J100515.91+221047.5,10 05 15.91,+22 10 47.5,nat
S0453,J100628.48+085012.3,10 06 28.48,+08 50 12.3,nat
S0454,J101042.61+214557.3,10 10 42.61,+21 45 57.3,nat
S0455,J101307.16+553201.6,10 13 07.16,+55 32 01.6,nat
S0457,J101441.93+003801.5,10 14 41.93,+00 38 01.5,nat
S0458,J101518.55+262754.9,10 15 18.55,+26 27 54.9,nat
S0459,J101606.64+470806.6,10 16 06.64,+47 08 06.6,nat
S0462,J102322.59+085126.9,10 23 22.59,+08 51 26.9,nat
S0463,J103201.62+350252.9,10 32 01.62,+35 02 52.9,nat
S0464,J103215.87+315235.7,10 32 15.87,+31 52 35.7,nat
S0465,J103221.43+051421.8,10 32 21.43,+05 14 21.8,nat
S0466,J104254.72+290717.5,10 42 54.72,+29 07 17.5,nat
S0467,J104344.72+084749.8,10 43 44.72,+08 47 49.8,nat
S0468,J104501.48+125802.8,10 45 01.48,+12 58 02.8,nat
S0469,J104656.15+163125.9,10 46 56.15,+16 31 25.9,nat
S0470,J104845.26+185757.8,10 48 45.26,+18 57 57.8,nat
S0471,J105129.91+050324.2,10 51 29.91,+05 03 24.2,nat
S0472,J105540.80+143220.2,10 55 40.80,+14 32 20.2,nat
S0473,J105614.77+112842.7,10 56 14.77,+11 28 42.7,nat
S0474,J110444.46+472656.8,11 04 44.46,+47 26 56.8,nat
S0475,J110528.85+123514.6,11 05 28.85,+12 35 14.6,nat
S0476,J110956.70+325205.9,11 09 56.70,+32 52 05.9,nat
S0477,J111006.16+115943.2,11 10 06.16,+11 59 43.2,nat
S0478,J113122.88+212556.5,11 31 22.88,+21 25 56.5,nat
S0479,J113131.07+012827.8,11 31 31.07,+01 28 27.8,nat
S0480,J113157.05+390800.1,11 31 57.05,+39 08 00.1,nat
S0481,J113240.23+134426.2,11 32 40.23,+13 44 26.2,nat
S0482,J113359.34+490345.5,11 33 59.34,+49 03 45.5,nat
S0483,J113733.28+300006.6,11 37 33.28,+30 00 06.6,nat
S0484,J114312.27+164139.3,11 43 12.27,+16 41 39.3,nat
S0485,J114522.20+152943.,11 45 22.20,+15 29 43.,nat
S0486,J115237.64+422904.7,11 52 37.64,+42 29 04.7,nat
S0488,J115638.83+204847.5,11 56 38.83,+20 48 47.5,nat
S0489,J120125.73-070310.9,12 01 25.73,-07 03 10.9,nat
S0490,J120202.76+580148.1,12 02 02.76,+58 01 48.1,nat
S0491,J120401.70+201355.7,12 04 01.70,+20 13 55.7,nat
S0492,J120828.56+342509.4,12 08 28.56,+34 25 09.4,nat
S0493,J120900.38+571530.5,12 09 00.38,+57 15 30.5,nat
S0494,J121156.28+070729.2,12 11 56.28,+07 07 29.2,nat
S0495,J121550.25+324313.0,12 15 50.25,+32 43 13.0,nat
S0496,J121731.4+033657.0,12 17 31.4,+03 36 57.0,nat
S0497,J121740.19+034002.1,12 17 40.19,+03 40 02.1,nat
S0499,J122223.69-044935.4,12 22 23.69,-04 49 35.4,nat
S0500,J122525.15+373728.7,12 25 25.15,+37 37 28.7,nat
S0501,J122732.29+492844.0,12 27 32.29,+49 28 44.0,nat
S0502,J122951.29+114040.4,12 29 51.29,+11 40 40.4,nat
S0503,J123145.98+385030.9,12 31 45.98,+38 50 30.9,nat
S0504,J123456.52+401254.4,12 34 56.52,+40 12 54.4,nat
S0505,J123528.51+531457.7,12 35 28.51,+53 14 57.7,nat
S0506,J123537.39+074110.5,12 35 37.39,+07 41 10.5,nat
S0507,J124148.03+605639.4,12 41 48.03,+60 56 39.4,nat
S0508,J124208.74+502212.8,12 42 08.74,+50 22 12.8,nat
S0509,J124310.27-072609.2,12 43 10.27,-07 26 09.2,nat
S0510,J124651.53+300531.1,12 46 51.53,+30 05 31.1,nat
S0511,J124724.16+093108.9,12 47 24.16,+09 31 08.9,nat
S0512,J124751.48-024951.6,12 47 51.48,-02 49 51.6,nat
S0513,J124754.54+011956.5,12 47 54.54,+01 19 56.5,nat
S0514,J124918.69+500449.5,12 49 18.69,+50 04 49.5,nat
S0515,J124950.79+071313.5,12 49 50.79,+07 13 13.5,nat
S0516,J125628.28+012604.7,12 56 28.28,+01 26 04.7,nat
S0517,J125930.22+490600.6,12 59 30.22,+49 06 00.6,nat
S0518,J130110.80+281829.8,13 01 10.80,+28 18 29.8,nat
S0519,J130833.03+531119.4,13 08 33.03,+53 11 19.4,nat
S0520,J131117.46+192246.3,13 11 17.46,+19 22 46.3,nat
S0521,J131336.78+174528.6,13 13 36.78,+17 45 28.6,nat
S0522,J131739.52+191020.8,13 17 39.52,+19 10 20.8,nat
S0523,J131756.76+314447.0,13 17 56.76,+31 44 47.0,nat
S0524,J131926.90+580725.3,13 19 26.90,+58 07 25.3,nat
S0525,J132246.31+113215.9,13 22 46.31,+11 32 15.9,nat
S0526,J132705.57-044047.2,13 27 05.57,-04 40 47.2,nat
S0527,J133031.07+064933.8,13 30 31.07,+06 49 33.8,nat
S0528,J133046.50+190444.5,13 30 46.50,+19 04 44.5,nat
S0529,J133437.09+253720.1,13 34 37.09,+25 37 20.1,nat
S0530,J133448.60+172812.3,13 34 48.60,+17 28 12.3,nat
S0531,J134244.59+122655.6,13 42 44.59,+12 26 55.6,nat
S0532,J134847.55+372634.2,13 48 47.55,+37 26 34.2,nat
S0533,J134936.07+482844.0,13 49 36.07,+48 28 44.0,nat
S0534,J134948.35+420703.7,13 49 48.35,+42 07 03.7,nat
S0535,J135133.47+002327.6,13 51 33.47,+00 23 27.6,nat
S0536,J135302.05+330528.5,13 53 02.05,+33 05 28.5,nat
S0537,J135339.85+094213.5,13 53 39.85,+09 42 13.5,nat
S0538,J135745.57+073223.7,13 57 45.57,+07 32 23.7,nat
S0539,J135857.2+035226.8,13 58 57.2,+03 52 26.8,nat
S0540,J135950.7-010238.9,13 59 50.7,-01 02 38.9,nat
S0541,J135959.4+444357.5,13 59 59.4,+44 43 57.5,nat
S0542,J140313.29+061008.3,14 03 13.29,+06 10 08.3,nat
S0543,J140603.79+404147.8,14 06 03.79,+40 41 47.8,nat
S0544,J140713.04+425735.7,14 07 13.04,+42 57 35.7,nat
S0545,J141330.45+484426.9,14 13 30.45,+48 44 26.9,nat
S0546,J141455.75+174607.9,14 14 55.75,+17 46 07.9,nat
S0547,J141809.17+051515.5,14 18 09.17,+05 15 15.5,nat
S0549,J142041.85+250035.0,14 20 41.85,+25 00 35.0,nat
S0551,J142136.93+610024.6,14 21 36.93,+61 00 24.6,nat
S0552,J142616.34+005015.4,14 26 16.34,+00 50 15.4,nat
S0553,J142807.32+395317.2,14 28 07.32,+39 53 17.2,nat
S0554,J143225.38+124724.6,14 32 25.38,+12 47 24.6,nat
